User,Rating,Review,Likes,Date
Isaiah Rivera,1,too many adds and the Playlist or for other their songs that's not in the Playlist.,0,2026-06-29 10:19:38
Kimberly 2309,1,"nice app,BUT ITS WONT LET ME LISTEN TO THE SON I WANT,i hat this weird ""smart shuffle"",and the only way to get out from it is to get a premium,I HATE IT",0,2026-06-29 10:17:24
Ian Brennan,5,I love it,0,2026-06-29 10:15:49
lokesh eshwar,1,"This app has become incredibly irritating to use. The constant barrage of ads ruins the entire experience. Just when I think I can enjoy a song, another ad appears. On top of that, after about six song selections, the app stops letting me choose the songs I actually want to play. What makes it even worse is that I experienced ads playing between songs even while I had Premium. The excessive ads and song-selection restrictions make this one of the most frustrating apps I've used.",0,2026-06-29 10:15:44
Uttam Singh,5,"thank you spotify,,for my user friendly experience,,jai sri Ram 🙏",0,2026-06-29 10:14:29
Kwame Amdoh,5,Kwame Andoh,0,2026-06-29 10:13:24
Will Y,1,to much adds,0,2026-06-29 10:12:12
Kapenamoku Cozo,3,"The app stops my Spotify song and pauses it when it's getting good, so something needs to stop that interruption one way or another.",0,2026-06-29 10:10:27
Maram,2,"It's a good app, but it's very greedy for the free version. I think they're trying to force us to subscribe to Spotify Premium. I mean, what do they mean by playing an ad for every song?! It's also boring, and even the subscription process is difficult. I've tried, but it keeps failing and telling me to try again! Even the free month they keep talking about, I can't try it. Why should I pay before trying it if it's free?",0,2026-06-29 10:05:42
Connor Goudie,3,"having only smart shuffle sucks. The ads breaks are very frequent and I always get 4 in a row. The limit of having only 6 skips every hour isn't a issue for me most of the time because I love all the songs in my playlist, however I can realize why others would hate this for how restricting it is. What does bother me is having only 6 songs you can choose a day is the worst thing I have ever heard of, just increase the amount of listens or decrease the limit to every hour please I beg of you.",0,2026-06-29 10:02:22
Chisom Nze,5,nice,0,2026-06-29 10:01:27
Leon Harrison,1,Download quickly,0,2026-06-29 09:59:10
vijayaraghavan ts,5,very good app,0,2026-06-29 09:53:34
Bharath a.l a.l,3,is to mich of ads is to irritating,0,2026-06-29 09:45:40
Malik Andrew,3,without premium you guys are good,0,2026-06-29 09:42:41
Carlota Abeleda,5,very good even if I'm not subscribe in a premium offer its still very accessible and easy to use,0,2026-06-29 09:35:59
Kalavati Raut,5,all songs develops that app😀,0,2026-06-29 09:35:47
Kathryn Day,5,I don't take a drive without it.,0,2026-06-29 09:35:28
Matthias Joseph,1,"They increased their prices again, and the app keeps giving me a blacked out screen when I try to open it. I've had to download and re-download multiple times to fix this issue even though it's up to date",0,2026-06-29 09:34:12
Justine Ierong Ba-ebalee,5,The best 👌 👍 among the rest,0,2026-06-29 09:34:02
Christina Marie Anderson (Kissiface),5,up until yesterday it worked perfect but when I open it up it just is a blank screen the widget says to update it when I go to Google play there is only an open button so idk I'm trying to figure it out because it opens on my other phone just not this one,0,2026-06-29 09:30:34
ukhti lutfiyah,5,"gatau, bgus aj.",0,2026-06-29 09:19:08
Kerry Elizabeth,5,Fantastic!,0,2026-06-29 09:15:54
Arthur Pennywise,1,"the app keeps crashing for absolutely no reason everytime, it can't even get through half a song without crashing",1,2026-06-29 09:13:40
Olivier E,5,"I often get some garbage song list, in styles I don't listen to, loaded automatically on startup",0,2026-06-29 09:09:52
Bob Red,5,it's Spotify needen I say more,0,2026-06-29 09:08:42
Amell Maynard,1,Get rid of smart shuffle,0,2026-06-29 09:05:49
Manda Reaux,5,great,0,2026-06-29 09:04:46
